PolygonID,STATE,COUNTY,CITY,NAME,REGIONID,SubPolygonID,PointID,Longitude,Latitude
5,NY,New York,New York City-Manhattan,East Village,270829,1,6,-73.99262381,40.72458999
5,NY,New York,New York City-Manhattan,East Village,270829,1,7,-73.99156997,40.72762001
5,NY,New York,New York City-Manhattan,East Village,270829,1,8,-73.98734002,40.73372002
8,NY,Queens,New York City-Queens,Auburndale,270797,1,1,-73.80413111,40.73780083
8,NY,Queens,New York City-Queens,Auburndale,270797,1,2,-73.80372069,40.74143762
8,NY,Queens,New York City-Queens,Auburndale,270797,1,3,-73.8020744,40.7479361
8,NY,Queens,New York City-Queens,Auburndale,270797,1,4,-73.80242099,40.74906251
8,NY,Queens,New York City-Queens,Auburndale,270797,1,5,-73.80233434,40.74988565
8,NY,Queens,New York City-Queens,Auburndale,270797,1,6,-73.80315748,40.75118535
8,NY,Queens,New York City-Queens,Auburndale,270797,1,7,-73.80376401,40.75300492
8,NY,Queens,New York City-Queens,Auburndale,270797,1,8,-73.80413069,40.75424886
8,NY,Queens,New York City-Queens,Auburndale,270797,1,9,-73.8034352,40.761482
8,NY,Queens,New York City-Queens,Auburndale,270797,1,10,-73.80002728,40.76224704
8,NY,Queens,New York City-Queens,Auburndale,270797,1,11,-73.79453287,40.76224704
8,NY,Queens,New York City-Queens,Auburndale,270797,1,12,-73.78688244,40.76349893
8,NY,Queens,New York City-Queens,Auburndale,270797,1,13,-73.78389181,40.76551586
8,NY,Queens,New York City-Queens,Auburndale,270797,1,14,-73.78069318,40.76630043
8,NY,Queens,New York City-Queens,Auburndale,270797,1,15,-73.77839741,40.76231659
8,NY,Queens,New York City-Queens,Auburndale,270797,1,16,-73.77694004,40.75856907
8,NY,Queens,New York City-Queens,Auburndale,270797,1,17,-73.77589363,40.75520864
8,NY,Queens,New York City-Queens,Auburndale,270797,1,18,-73.77485039,40.7537481
8,NY,Queens,New York City-Queens,Auburndale,270797,1,19,-73.77498949,40.75242666
8,NY,Queens,New York City-Queens,Auburndale,270797,1,20,-73.77081132,40.74344074
8,NY,Queens,New York City-Queens,Auburndale,270797,1,21,-73.77502997,40.74251998
8,NY,Queens,New York City-Queens,Auburndale,270797,1,22,-73.77930856,40.74182615
8,NY,Queens,New York City-Queens,Auburndale,270797,1,23,-73.78287586,40.74083892
8,NY,Queens,New York City-Queens,Auburndale,270797,1,24,-73.79578206,40.73768661
8,NY,Queens,New York City-Queens,Auburndale,270797,1,25,-73.80413111,40.73780083
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,1,-74.06104653,40.60723075
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,2,-74.06102178,40.60719646
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,3,-74.06102137,40.60719587
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,4,-74.06095775,40.60710078
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,5,-74.06088127,40.60700331
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,6,-74.06088084,40.60700274
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,7,-74.0606609,40.60670082
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,8,-74.06049246,40.60645631
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,9,-74.06049102,40.60644808
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,10,-74.0604949,40.60643341
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,11,-74.06050021,40.60642696
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,12,-74.06516424,40.60416904
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,13,-74.06517255,40.60416886
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,14,-74.06518645,40.60417485
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,15,-74.06519202,40.60418102
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,16,-74.06520713,40.60422885
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,17,-74.06539613,40.60448721
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,18,-74.06539664,40.60448795
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,19,-74.06546336,40.60459163
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,20,-74.06556762,40.60454387
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,21,-74.06557475,40.60454341
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,22,-74.06558748,40.60454735
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,23,-74.0655931,40.60455175
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,24,-74.06564406,40.60463658
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,25,-74.06562041,40.60459721
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,26,-74.06548143,40.60516296
9,NY,Richmond,New York City-Staten Island,Rosebank,197599,1,27,-74.06104653,40.60723075
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,1,-74.01242683,40.71954047
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,2,-74.0131,40.71569091
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,3,-74.01428998,40.71134828
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,4,-74.0165718,40.70561191
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,5,-74.01631935,40.70498265
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,6,-74.01650742,40.70431639
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,7,-74.01668826,40.70427118
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,8,-74.01726364,40.70385455
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,9,-74.01737925,40.7042015
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,10,-74.01699854,40.70470119
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,11,-74.01809091,40.70456364
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,12,-74.01692716,40.70505811
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,13,-74.01702234,40.70531985
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,14,-74.01914006,40.70489154
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,15,-74.01933041,40.70579574
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,16,-74.01933041,40.7068427
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,17,-74.01968733,40.70703306
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,18,-74.01942559,40.70705685
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,19,-74.01899729,40.70793725
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,20,-74.01923523,40.70793725
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,21,-74.01918764,40.70841315
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,22,-74.0194018,40.70881766
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,23,-74.01902108,40.71095917
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,24,-74.01861657,40.71145886
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,25,-74.01830724,40.71276756
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,26,-74.01419078,40.71269618
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,27,-74.01388145,40.71413575
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,28,-74.01756961,40.71332673
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,29,-74.01595158,40.71958472
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,30,-74.01280904,40.71954527
14,NY,New York,New York City-Manhattan,Battery Park,272869,1,31,-74.01242683,40.71954047
16,NY,Bronx,New York City-Bronx,Throggs Neck,343210,1,1,-73.84204449,40.82767473
16,NY,Bronx,New York City-Bronx,Throggs Neck,343210,1,2,-73.84189867,40.83078204
16,NY,Bronx,New York City-Bronx,Throggs Neck,343210,1,3,-73.83999679,40.83258383
16,NY,Bronx,New York City-Bronx,Throggs Neck,343210,1,4,-73.8390959,40.83448571
16,NY,Bronx,New York City-Bronx,Throggs Neck,343210,1,5,-73.83845817,40.83502298
