2015-07-11,Eastchester,6	
2015-07-11,Flatbush,3	
2015-07-11,Fordham,10	
2015-07-11,Gramercy,32451	
2015-07-11,High Bridge,42	
2015-07-11,Howland Hook,1	
2015-07-11,Hunts Point,6	
2015-07-11,Little Italy,5906	
2015-07-11,Mott Haven,180	
2015-07-11,Parkchester,16	
2015-07-11,Ridgewood,49	
2015-07-11,Spuyten Duyvil,3	
2015-07-11,Whitestone,573	
2015-07-11,Woodside,408	
2015-07-12,Battery Park,3106	
2015-07-12,Carroll Gardens,617	
2015-07-12,Cobble Hill,183	
2015-07-12,College Point,11968	
2015-07-12,Eastchester,14	
2015-07-12,Flushing,49	
2015-07-12,Greenwich Village,19569	
2015-07-12,Greenwood,66	
2015-07-12,Kings Bridge,14	
2015-07-12,Lower East Side,12116	
2015-07-12,Middle Village,13	
2015-07-12,Midtown,50822	
2015-07-12,Morningside Heights,1490	
2015-07-12,Park Slope,488	
2015-07-12,Queensboro Hill,4	
2015-07-12,Red Hook,1	
2015-07-12,Rosedale,9602	
2015-07-12,Saintalbans,4	
2015-07-12,West Village,10007	
2015-07-13,East Village,8451	
2015-07-13,Glendale,3	
2015-07-13,Jamaica,133	
2015-07-13,Morris Heights,9	
2015-07-13,Nkew Gardens,47	
2015-07-13,Soho,7511	
2015-07-13,Sunny Side,965	
2015-07-13,Tremont,9	
2015-07-13,Upper East Side,44929	
2015-07-13,Woodhaven-Richmond Hill,12	
2015-07-14,Chelsea,25935	
2015-07-14,Chinatown,1065	
2015-07-14,College Point,12010	
2015-07-14,Queens Village,1	
2015-07-14,Soundview,8	
2015-07-14,South Bronx,25	
2015-07-14,University Heights,3	
2015-07-14,Yorkville,40	
2015-07-15,Auburndale,5	
2015-07-15,Carnegie Hill,4209	
2015-07-15,Forest Hills,104	
2015-07-15,Hamilton Heights,555	
2015-07-15,Maspeth,30	
2015-07-15,Riverdale,3	
2015-07-15,South Bronx,21	
2015-07-15,The Rockaways,8	
2015-07-15,Utopia,37	
2015-07-15,Washington Heights,377	
2015-07-16,Bay Ridge,16	
2015-07-16,Bedford Park,2	
2015-07-16,Canarsie,5	
2015-07-16,Carroll Gardens,525	
2015-07-16,Central Park,4342	
2015-07-16,Clinton,11823	
2015-07-16,Gramercy,32171	
2015-07-16,Laurelton,2	
2015-07-16,Lower East Side,8366	
2015-07-16,Spuyten Duyvil,2	
2015-07-16,Steinway,6218	
2015-07-16,Throggs Neck,4	
2015-07-16,Westerleigh-Castleton,1	
2015-07-16,Williamsburg,1176	
2015-07-16,Woodhaven-Richmond Hill,18	
2015-07-16,Woodside,288	
2015-07-17,Bedford-Stuyvesant,310	
2015-07-17,Boerum Hill,488	
2015-07-17,Brownsville,7	
2015-07-17,Bushwick,127	
2015-07-17,Carnegie Hill,3080	
2015-07-17,Coney Island,1	
2015-07-17,Douglastown-Little Neck,7	
2015-07-17,Dyker Heights,1	
2015-07-17,East Harlem,1080	
2015-07-17,Flushing,39	
2015-07-17,Fort Green,969	
2015-07-17,Garment District,20054	
2015-07-17,Greenwich Village,15612	
2015-07-17,Harlem,2148	
2015-07-17,Kings Bridge,10	
2015-07-17,Middle Village,9	
2015-07-17,Rosedale,8525	
2015-07-17,Springfield Gardens,17	
2015-07-17,Tribeca,6001	
2015-07-17,Union Port,5	
2015-07-17,Upper West Side,15290	
2015-07-18,Battery Park,3599	
2015-07-18,Boerum Hill,540	
2015-07-18,Clearview,1	
2015-07-18,Downtown,825	
2015-07-18,East Harlem,1259	
2015-07-18,High Bridge,55	
2015-07-18,Inwood,55	
2015-07-18,Jamaica,138	
2015-07-18,Morris Heights,10	
2015-07-18,Mott Haven,179	
2015-07-18,Murray Hill,12475	
2015-07-18,Tremont,17	
2015-07-18,Whitestone,549	
2015-07-18,other,15292	
2015-07-19,Bensonhurst,11	
2015-07-19,Carnegie Hill,2107	
2015-07-19,Chelsea,27162	
2015-07-19,Country Club,3	
2015-07-19,Dyker Heights,4	
2015-07-19,Hamilton Heights,1149	
2015-07-19,High Bridge,75	
2015-07-19,Hunts Point,4	
2015-07-19,Jackson Heights,540	
2015-07-19,Morningside Heights,1585	
2015-07-19,New Brighton,2	
2015-07-19,Nkew Gardens,73	
2015-07-19,Parkchester,13	
2015-07-19,Red Hook,5	
2015-07-19,Ridgewood,31	
2015-07-19,Woodlawn-Nordwood,3	
2015-07-20,Battery Park,3884	
2015-07-20,Bay Ridge,10	
2015-07-20,Brownsville,6	
2015-07-20,Chelsea,24582	
2015-07-20,Douglastown-Little Neck,7	
2015-07-20,East Village,8776	
2015-07-20,Financial District,8676	
2015-07-20,Flushing,62	
2015-07-20,Laurelton,4	
2015-07-20,Morningside Heights,1465	
2015-07-20,Morris Heights,6	
2015-07-20,North Sutton Area,3598	
2015-07-20,Red Hook,1	
2015-07-20,Rosedale,10195	
2015-07-20,Soho,8031	
2015-07-20,Sunset Park,2	
2015-07-20,Utopia,49	
2015-07-21,Auburndale,4	
2015-07-21,Boerum Hill,320	
2015-07-21,Carroll Gardens,400	
2015-07-21,Country Club,1	
2015-07-21,East Brooklyn,8	
2015-07-21,East Harlem,625	
2015-07-21,Glendale,2	
2015-07-21,Hamilton Heights,580	
2015-07-21,Harlem,1283	
2015-07-21,Lower East Side,6603	
2015-07-21,Mapleton-Flatlands,20	
2015-07-21,Maspeth,27	
2015-07-21,Nkew Gardens,37	
2015-07-21,Queens Village,4	
2015-07-21,Queensboro Hill,1	
2015-07-21,South Beach,2	
2015-07-22,Bensonhurst,3	
2015-07-22,Clinton,12109	
2015-07-22,Fordham,4	
2015-07-22,Harlem,1344	
2015-07-22,High Bridge,44	
2015-07-22,Hunts Point,2	
2015-07-22,Murray Hill,14332	
2015-07-22,Parkchester,5	
2015-07-22,Springfield Gardens,14	
2015-07-22,University Heights,6	
2015-07-22,Upper East Side,51744	
2015-07-23,Borough Park,4	
2015-07-23,Cobble Hill,188	
2015-07-23,East Brooklyn,7	
2015-07-23,Eastchester,7	
2015-07-23,Fort Green,664	
2015-07-23,Inwood,33	
2015-07-23,Mariners Harbor,1	
2015-07-23,Midtown,70977	
2015-07-23,Parkchester,5	
2015-07-23,Ridgewood,8	
2015-07-23,Saintalbans,1	
2015-07-23,Todt Hill,1	
2015-07-23,Union Port,2	
2015-07-23,Williams Bridge,16	
2015-07-23,Williamsburg,1122	
2015-07-23,Woodhaven-Richmond Hill,20	
2015-07-24,Canarsie,8	
2015-07-24,Coney Island,2	
2015-07-24,Greenwood,45	
2015-07-24,Jamaica,122	
2015-07-24,Little Italy,3490	
2015-07-24,Middle Village,5	
2015-07-24,Morningside Heights,1681	
2015-07-24,Mott Haven,110	
2015-07-24,Steinway,6269	
2015-07-24,Tremont,8	
2015-07-24,Washington Heights,433	
2015-07-24,Whitestone,515	
2015-07-24,Woodside,293	
2015-07-25,Battery Park,3941	
2015-07-25,Bedford-Stuyvesant,424	
2015-07-25,Bushwick,239	
2015-07-25,Chelsea,27952	
2015-07-25,College Point,12546	
2015-07-25,Flushing,69	
2015-07-25,Kings Bridge,10	
2015-07-25,Morris Heights,17	
2015-07-25,Morris Park,5	
2015-07-25,North Sutton Area,3226	
2015-07-25,Park Slope,409	
2015-07-25,Rosedale,7891	
2015-07-25,West Village,13017	
2015-07-26,Chinatown,1504	
2015-07-26,Downtown,673	
2015-07-26,East Village,16291	
2015-07-26,Financial District,7439	
2015-07-26,Maspeth,32	
2015-07-26,Morris Park,8	
2015-07-26,Nkew Gardens,54	
2015-07-26,Queens Village,4	
2015-07-26,South Bronx,60	
2015-07-26,Sunny Side,1082	
2015-07-26,Upper West Side,14647	
2015-07-26,Woodhaven-Richmond Hill,18	
2015-07-26,Yorkville,52	
2015-07-27,Chinatown,996	
2015-07-27,Clinton,10928	
2015-07-27,College Point,10549	
2015-07-27,Douglastown-Little Neck,6	
2015-07-27,Mapleton-Flatlands,36	
2015-07-27,Red Hook,1	
2015-07-27,Richmondtown,1	
2015-07-27,Riverdale,3	
2015-07-27,Soho,7095	
2015-07-27,Soundview,3	
2015-07-28,Auburndale,1	
2015-07-28,Baychester,1	
2015-07-28,Brownsville,6	
2015-07-28,Carnegie Hill,4200	
2015-07-28,Forest Hills,88	
2015-07-28,Garment District,23213	
2015-07-28,Glendale,6	
2015-07-28,Jackson Heights,316	
2015-07-28,Sunset Park,2	
2015-07-28,The Rockaways,10	
2015-07-28,Tribeca,7006	
2015-07-28,University Heights,3	
2015-07-29,Bay Ridge,16	
2015-07-29,Bedford Park,3	
2015-07-29,Boerum Hill,310	
2015-07-29,Central Park,4491	
2015-07-29,East Harlem,642	
2015-07-29,Jamaica,107	
2015-07-29,Laurelton,1	
2015-07-29,Middle Village,12	
2015-07-29,Springfield Gardens,10	
2015-07-29,Throggs Neck,1	
2015-07-29,Tremont,3	
2015-07-29,Utopia,43	
2015-07-29,Williamsburg,981	
2015-07-30,Borough Park,1	
2015-07-30,Carroll Gardens,482	
2015-07-30,Douglastown-Little Neck,7	
2015-07-30,Dyker Heights,2	
2015-07-30,Forest Hills,93	
2015-07-30,Garment District,22496	
2015-07-30,Lower East Side,8120	
2015-07-30,Mott Haven,81	
2015-07-30,Queensboro Hill,1	
2015-07-30,Red Hook,3	
2015-07-30,Tremont,13	
2015-07-30,University Heights,2	
2015-07-30,Whitestone,464	
2015-07-30,Williamsburg,1112	
2015-07-30,Yorkville,40	
2015-07-31,Baychester,1	
2015-07-31,Bedford Park,3	
2015-07-31,Brownsville,10	
2015-07-31,Central Park,3941	
2015-07-31,Chelsea,27080	
2015-07-31,Chinatown,1198	
2015-07-31,Coney Island,2	
2015-07-31,Glendale,3	
2015-07-31,Little Italy,3514	
2015-07-31,Park Slope,271	
2015-07-31,Riverdale,4	
2015-07-31,Soundview,5	
2015-07-31,Sunset Park,3	
2015-07-31,Throggs Neck,3	
2015-07-31,Upper East Side,48141	
2015-07-31,Yorkville,52	
2015-07-01,Bedford Park,7	
2015-07-01,Boerum Hill,629	
2015-07-01,Brownsville,6	
2015-07-01,Carnegie Hill,4013	
2015-07-01,Central Park,4162	
2015-07-01,Dyker Heights,5	
2015-07-01,East Harlem,763	
2015-07-01,Financial District,8922	
2015-07-01,Gravesend-Sheepshead Bay,12	
2015-07-01,Greenwich Village,16902	
2015-07-01,Hamilton Heights,607	
2015-07-01,Jamaica,106	
2015-07-01,Little Italy,3072	
2015-07-01,Middle Village,3	
2015-07-01,Throggs Neck,2	
2015-07-01,Tremont,9	
2015-07-01,Upper West Side,17041	
2015-07-01,Woodhaven-Richmond Hill,17	
2015-07-02,Canarsie,5	
2015-07-02,Chelsea,24654	
2015-07-02,Fort Green,752	
2015-07-02,Gramercy,31142	
2015-07-02,Gravesend-Sheepshead Bay,14	
2015-07-02,High Bridge,44	
2015-07-02,Kings Bridge,6	
2015-07-02,Mapleton-Flatlands,28	
2015-07-02,Morningside Heights,1493	
2015-07-02,Morris Heights,4	
2015-07-02,Murray Hill,13044	
2015-07-02,Steinway,5839	
2015-07-02,Union Port,4	
2015-07-02,West Village,9689	
2015-07-02,Woodside,269	
2015-07-03,Battery Park,2973	
2015-07-03,Bensonhurst,3	
2015-07-03,Bushwick,185	
2015-07-03,Carnegie Hill,1767	
2015-07-03,Dyker Heights,8	
2015-07-03,East Village,13609	
2015-07-03,Eastchester,8	
2015-07-03,Flushing,42	
2015-07-03,Gravesend-Sheepshead Bay,13	
2015-07-03,High Bridge,54	
2015-07-03,Hunts Point,3	
2015-07-03,Jackson Heights,434	
2015-07-03,Maspeth,35	
2015-07-03,Mott Haven,134	
2015-07-03,Parkchester,16	
2015-07-03,Ridgewood,14	
2015-07-03,Rosedale,6714	
2015-07-03,Soho,6428	
2015-07-03,University Heights,8	
2015-07-03,Whitestone,506	
2015-07-03,Woodlawn-Nordwood,1	
2015-07-03,other,12689	
2015-07-04,Bloomfield-Chelsea-Travis,1	
2015-07-04,Clinton,10427	
2015-07-04,Cobble Hill,116	
2015-07-04,Country Club,2	
2015-07-04,Downtown,681	
2015-07-04,Eastchester,9	
2015-07-04,Gravesend-Sheepshead Bay,32	
2015-07-04,Greenwood,60	
2015-07-04,North Sutton Area,2049	
2015-07-04,Park Slope,278	
2015-07-04,Saintalbans,4	
2015-07-04,Washington Heights,417	
2015-07-05,Carroll Gardens,376	
2015-07-05,Clifton,1	
2015-07-05,Douglastown-Little Neck,3	
2015-07-05,Forest Hills,114	
2015-07-05,Gravesend-Sheepshead Bay,23	
2015-07-05,Lower East Side,8017	
2015-07-05,Queensboro Hill,9	
2015-07-05,Red Hook,2	
2015-07-05,Tribeca,3611	
2015-07-05,Upper West Side,10863	
2015-07-05,Utopia,50	
2015-07-05,other,18403	
2015-07-06,Bayside,1	
2015-07-06,Bedford-Stuyvesant,132	
2015-07-06,Borough Park,7	
2015-07-06,Central Park,3382	
2015-07-06,Chinatown,1021	
2015-07-06,Glendale,4	
2015-07-06,Gravesend-Sheepshead Bay,9	
2015-07-06,Greenwich Village,12194	
2015-07-06,Hamilton Heights,507	
2015-07-06,Jamaica,149	
2015-07-06,Middle Village,9	
2015-07-06,Morris Park,2	
2015-07-06,Queens Village,3	
2015-07-06,South Bronx,23	
2015-07-06,Throggs Neck,1	
2015-07-06,Upper East Side,39375	
2015-07-06,Utopia,40	
2015-07-06,Williamsburg,687	
2015-07-06,Yorkville,27	
2015-07-07,Auburndale,3	
2015-07-07,Chinatown,1103	
2015-07-07,Coney Island,1	
2015-07-07,East Brooklyn,4	
2015-07-07,Gravesend-Sheepshead Bay,12	
2015-07-07,Harlem,1220	
2015-07-07,Little Italy,2711	
2015-07-07,Midtown,67100	
2015-07-07,Park Slope,189	
2015-07-07,Riverdale,3	
2015-07-07,Soundview,12	
2015-07-07,South Bronx,24	
2015-07-07,Springfield Gardens,15	
2015-07-07,Williams Bridge,2	
2015-07-07,other,17787	
2015-07-08,Battery Park,3964	
2015-07-08,Bay Ridge,8	
2015-07-08,Bushwick,68	
2015-07-08,Garment District,24569	
2015-07-08,Gravesend-Sheepshead Bay,13	
2015-07-08,Inwood,22	
2015-07-08,Laurelton,3	
2015-07-08,Maspeth,24	
2015-07-08,Sunny Side,969	
2015-07-08,Sunset Park,3	
2015-07-08,West Village,8783	
2015-07-09,Bay Ridge,21	
2015-07-09,Boerum Hill,444	
2015-07-09,Brownsville,9	
2015-07-09,Canarsie,2	
2015-07-09,Carroll Gardens,567	
2015-07-09,Clinton,12605	
2015-07-09,Downtown,811	
2015-07-09,East Brooklyn,7	
2015-07-09,East Harlem,747	
2015-07-09,East Village,12571	
2015-07-09,Gramercy,33773	
2015-07-09,Gravesend-Sheepshead Bay,11	
2015-07-09,Lower East Side,8235	
2015-07-09,Morningside Heights,1607	
2015-07-09,Nkew Gardens,37	
2015-07-09,North Sutton Area,4575	
2015-07-09,Queensboro Hill,4	
2015-07-09,Sunset Park,3	
2015-07-09,Woodside,360	
2015-07-09,other,17637	
2015-07-10,Battery Park,3567	
2015-07-10,Chinatown,1253	
2015-07-10,Clinton,11894	
2015-07-10,East Village,14535	
2015-07-10,Garment District,24380	
2015-07-10,Greenwich Village,18526	
2015-07-10,Mapleton-Flatlands,35	
2015-07-10,Morningside Heights,1712	
2015-07-10,Park Slope,353	
2015-07-10,South Bronx,31	
2015-07-10,Steinway,6168	
2015-07-10,Upper West Side,17275	
2015-07-10,Utopia,44	
2015-07-10,Yorkville,50	
2015-07-11,Bushwick,312	
2015-07-11,Chinatown,1974	
2015-07-11,College Point,12889	
2015-07-11,Country Club,4	
2015-07-11,New Brighton,2	
2015-07-11,Nkew Gardens,69	
2015-07-11,Riverdale,9	
2015-07-11,Soundview,13	
2015-07-11,Sunny Side,1499	
2015-07-11,Tribeca,6954	
2015-07-11,University Heights,7	
2015-07-11,Upper East Side,40394	
2015-07-11,Woodhaven-Richmond Hill,34	
2015-07-12,Bay Ridge,20	
2015-07-12,Brownsville,9	
2015-07-12,Carnegie Hill,1829	
2015-07-12,Downtown,829	
2015-07-12,Gramercy,26143	
2015-07-12,Hamilton Heights,1053	
2015-07-12,Harlem,2136	
2015-07-12,Jackson Heights,608	
2015-07-12,Jamaica,112	
2015-07-12,Springfield Gardens,23	
2015-07-12,Sunset Park,10	
2015-07-12,The Rockaways,3	
2015-07-12,Tremont,15	
2015-07-12,Woodlawn-Nordwood,6	
2015-07-12,Woodside,362	
2015-07-13,Auburndale,1	
2015-07-13,Bay Ridge,10	
2015-07-13,Boerum Hill,307	
2015-07-13,Borough Park,7	
2015-07-13,Chelsea,22814	
2015-07-13,East Harlem,607	
2015-07-13,Forest Hills,79	
2015-07-13,Inwood,21	
2015-07-13,Middle Village,2	
2015-07-13,Red Hook,1	
2015-07-13,South Beach,1	
2015-07-13,Washington Heights,388	
2015-07-13,Williamsburg,854	
2015-07-14,Bedford Park,10	
2015-07-14,Bedford-Stuyvesant,151	
2015-07-14,Bensonhurst,8	
2015-07-14,Bloomfield-Chelsea-Travis,1	
2015-07-14,Carnegie Hill,4272	
2015-07-14,Carroll Gardens,448	
2015-07-14,Central Park,4304	
2015-07-14,Coney Island,4	
2015-07-14,Dyker Heights,2	
2015-07-14,Glendale,7	
2015-07-14,High Bridge,29	
2015-07-14,Hunts Point,2	
2015-07-14,Little Italy,2925	
2015-07-14,Lower East Side,6241	
2015-07-14,Maspeth,28	
