,count,PRCP,SNWD,SNOW,TMAX,TMIN,holiday
2014-03-30,462771.0,0.35,0.0,0.0,49.0,39.0,0.0
2014-03-31,432430.0,0.16,0.0,0.0,56.0,36.0,0.0
2014-04-01,462503.0,0.0,0.0,0.0,60.0,39.0,0.0
2014-04-02,483841.0,0.0,0.0,0.0,54.0,42.0,0.0
2014-04-03,499912.0,0.07,0.0,0.0,67.0,46.0,0.0
2014-04-04,544519.0,0.21,0.0,0.0,47.0,40.0,0.0
2014-04-05,543175.0,0.0,0.0,0.0,54.0,40.0,0.0
2014-04-06,475267.0,0.0,0.0,0.0,61.0,36.0,0.0
2014-04-07,460614.0,0.52,0.0,0.0,53.0,43.0,0.0
2014-04-08,467018.0,0.34,0.0,0.0,64.0,46.0,0.0
2014-04-09,484663.0,0.0,0.0,0.0,61.0,45.0,0.0
2014-04-10,498870.0,0.0,0.0,0.0,58.0,42.0,0.0
2014-04-11,506025.0,0.0,0.0,0.0,75.0,56.0,0.0
2014-04-12,540202.0,0.0,0.0,0.0,73.0,50.0,0.0
2014-04-13,472041.0,0.0,0.0,0.0,77.0,54.0,0.0
2014-04-14,419268.0,0.0,0.0,0.0,75.0,59.0,0.0
2014-04-15,481424.0,0.71,0.0,0.0,63.0,33.0,0.0
2014-04-16,495438.0,0.05,0.0,0.0,49.0,31.0,0.0
2014-04-17,508415.0,0.0,0.0,0.0,48.0,36.0,0.0
2014-04-18,514893.0,0.0,0.0,0.0,49.0,35.0,0.0
2014-04-19,483916.0,0.0,0.0,0.0,68.0,41.0,0.0
2014-04-20,429066.0,0.0,0.0,0.0,60.0,45.0,0.0
2014-04-21,421347.0,0.0,0.0,0.0,67.0,41.0,0.0
2014-04-22,463407.0,0.01,0.0,0.0,71.0,51.0,0.0
2014-04-23,501335.0,0.0,0.0,0.0,61.0,44.0,0.0
2014-04-24,505056.0,0.0,0.0,0.0,62.0,42.0,0.0
2014-04-25,526282.0,0.02,0.0,0.0,63.0,44.0,0.0
2014-04-26,540090.0,0.92,0.0,0.0,67.0,46.0,0.0
2014-04-27,473210.0,0.0,0.0,0.0,59.0,47.0,0.0
2014-04-28,436246.0,0.0,0.0,0.0,67.0,45.0,0.0
2014-04-29,483147.0,0.03,0.0,0.0,52.0,43.0,0.0
2014-04-30,497569.0,4.97,0.0,0.0,52.0,41.0,0.0
2014-05-01,492691.0,0.12,0.0,0.0,78.0,51.0,0.0
2014-05-02,516985.0,0.0,0.0,0.0,70.0,56.0,0.0
2014-05-03,544063.0,0.08,0.0,0.0,71.0,54.0,0.0
2014-05-04,475789.0,0.02,0.0,0.0,65.0,54.0,0.0
2014-05-05,461342.0,0.0,0.0,0.0,70.0,50.0,0.0
2014-05-06,483245.0,0.0,0.0,0.0,71.0,52.0,0.0
2014-05-07,484552.0,0.0,0.0,0.0,69.0,50.0,0.0
2014-05-08,508104.0,0.41,0.0,0.0,59.0,53.0,0.0
2014-05-09,523936.0,0.04,0.0,0.0,63.0,55.0,0.0
2014-05-10,527537.0,0.37,0.0,0.0,83.0,57.0,0.0
2014-05-11,454120.0,0.03,0.0,0.0,82.0,60.0,0.0
2014-05-12,437492.0,0.0,0.0,0.0,85.0,64.0,0.0
2014-05-13,473044.0,0.0,0.0,0.0,73.0,53.0,0.0
2014-05-14,466666.0,0.01,0.0,0.0,71.0,52.0,0.0
2014-05-15,495003.0,0.15,0.0,0.0,71.0,58.0,0.0
2014-05-16,515834.0,1.54,0.0,0.0,68.0,58.0,0.0
2014-05-17,506831.0,0.0,0.0,0.0,70.0,53.0,0.0
2014-05-18,473932.0,0.0,0.0,0.0,67.0,51.0,0.0
2014-05-19,452923.0,0.0,0.0,0.0,72.0,49.0,0.0
2014-05-20,472199.0,0.0,0.0,0.0,78.0,53.0,0.0
2014-05-21,483979.0,0.0,0.0,0.0,74.0,63.0,0.0
2014-05-22,489262.0,0.24,0.0,0.0,67.0,59.0,0.0
2014-05-23,495859.0,0.91,0.0,0.0,71.0,56.0,0.0
2014-05-24,413311.0,0.4,0.0,0.0,70.0,57.0,0.0
2014-05-25,378073.0,0.0,0.0,0.0,80.0,55.0,0.0
2014-05-26,336173.0,0.0,0.0,0.0,86.0,66.0,1.0
2014-05-27,432969.0,0.0,0.0,0.0,86.0,64.0,0.0
2014-05-28,472420.0,0.0,0.0,0.0,64.0,54.0,0.0
2014-05-29,489739.0,0.0,0.0,0.0,66.0,51.0,0.0
2014-05-30,503977.0,0.0,0.0,0.0,75.0,55.0,0.0
2014-05-31,511991.0,0.05,0.0,0.0,73.0,57.0,0.0
2014-06-01,435163.0,0.0,0.0,0.0,77.0,55.0,0.0
2014-06-02,428122.0,0.0,0.0,0.0,80.0,59.0,0.0
2014-06-03,462670.0,0.12,0.0,0.0,87.0,65.0,0.0
2014-06-04,482348.0,0.0,0.0,0.0,82.0,63.0,0.0
2014-06-05,501694.0,0.87,0.0,0.0,76.0,61.0,0.0
2014-06-06,495170.0,0.0,0.0,0.0,76.0,61.0,0.0
2014-06-07,504156.0,0.0,0.0,0.0,82.0,60.0,0.0
2014-06-08,434856.0,0.0,0.0,0.0,86.0,66.0,0.0
2014-06-09,440162.0,1.6,0.0,0.0,73.0,63.0,0.0
2014-06-10,463614.0,0.0,0.0,0.0,77.0,65.0,0.0
2014-06-11,477219.0,0.02,0.0,0.0,70.0,61.0,0.0
2014-06-12,498857.0,0.07,0.0,0.0,73.0,60.0,0.0
2014-06-13,496516.0,1.28,0.0,0.0,79.0,65.0,0.0
2014-06-14,487611.0,0.0,0.0,0.0,74.0,60.0,0.0
2014-06-15,414417.0,0.0,0.0,0.0,80.0,59.0,0.0
2014-06-16,423175.0,0.0,0.0,0.0,81.0,63.0,0.0
2014-06-17,449368.0,0.0,0.0,0.0,89.0,71.0,0.0
2014-06-18,472667.0,0.0,0.0,0.0,89.0,76.0,0.0
